ts,co2,humidity,light_level,pir,temperature,co2_level,line_1_period_in,line_1_period_out,line_1_total_in,line_1_total_out,open_windows_all
2025-09-24 18:50:00,499.0,49.0,0.0,0,27.2,Low,0,0,0,0,0
2025-09-24 19:00:00,508.0,48.75,0.0,0,27.2,Medium,0,0,0,0,0
2025-09-24 19:10:00,489.0,48.5,0.0,0,27.2,Low,0,0,0,0,0
2025-09-24 19:20:00,488.0,48.5,0.0,0,27.2,Low,1,1,1,1,0
2025-09-24 19:30:00,488.0,48.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 19:40:00,487.0,48.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 19:50:00,487.0,48.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 20:00:00,487.0,48.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 20:10:00,486.0,48.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 20:20:00,486.0,48.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 20:30:00,485.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 20:40:00,482.0,48.0,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 20:50:00,482.0,48.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 21:00:00,479.0,48.5,0.0,0,27.2,Low,0,0,1,1,0
2025-09-24 21:10:00,477.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 21:20:00,476.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 21:30:00,474.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 21:40:00,471.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 21:50:00,469.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 22:00:00,465.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 22:10:00,464.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 22:20:00,463.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 22:30:00,462.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 22:40:00,461.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 22:50:00,462.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 23:00:00,461.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 23:10:00,460.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 23:20:00,458.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 23:30:00,457.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 23:40:00,457.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-24 23:50:00,456.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 00:00:00,455.0,48.5,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 00:10:00,450.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 00:20:00,449.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 00:30:00,449.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 00:40:00,449.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 00:50:00,449.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 01:00:00,448.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 01:10:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 01:20:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 01:30:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 01:40:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 01:50:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 02:00:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 02:10:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 02:20:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 02:30:00,447.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 02:40:00,446.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 02:50:00,445.0,49.0,0.0,0,27.1,Low,0,0,1,1,0
2025-09-25 03:00:00,444.0,49.0,0.0,0,27.0,Low,0,0,1,1,0
2025-09-25 03:10:00,444.0,49.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 03:20:00,444.0,49.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 03:30:00,444.0,49.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 03:40:00,444.0,49.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 03:50:00,443.0,49.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 04:00:00,443.0,48.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 04:10:00,442.0,48.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 04:20:00,442.0,48.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 04:30:00,442.0,48.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 04:40:00,442.0,48.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 04:50:00,442.0,48.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 05:00:00,443.0,48.5,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 05:10:00,443.0,48.0,0.0,0,27.0,Low,0,0,0,0,0
2025-09-25 05:20:00,443.0,48.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 05:30:00,443.0,48.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 05:40:00,445.0,48.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 05:50:00,446.0,48.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 06:00:00,447.0,48.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 06:10:00,447.0,48.0,1.0,0,27.1,Low,0,0,0,0,0
2025-09-25 06:20:00,448.0,47.5,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 06:30:00,449.0,48.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 06:40:00,449.0,47.5,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 06:50:00,450.0,47.5,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 07:00:00,451.0,47.5,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 07:10:00,453.0,47.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 07:20:00,454.0,47.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 07:30:00,456.0,46.5,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 07:40:00,457.0,46.5,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 07:50:00,463.0,46.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 08:00:00,462.0,45.5,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 08:10:00,462.0,45.0,0.0,0,27.1,Low,0,0,0,0,0
2025-09-25 08:20:00,464.0,44.5,1.0,0,27.1,Low,0,0,0,0,0
2025-09-25 08:30:00,467.0,44.0,1.0,0,27.1,Low,0,0,0,0,0
2025-09-25 08:40:00,474.0,43.5,1.0,0,27.2,Low,0,0,0,0,0
2025-09-25 08:50:00,474.0,43.0,1.0,0,27.2,Low,0,0,0,0,0
2025-09-25 09:00:00,477.0,43.0,1.0,0,27.3,Low,0,0,0,0,0
2025-09-25 09:10:00,476.0,42.5,1.0,0,27.3,Low,0,0,0,0,0
2025-09-25 09:20:00,476.0,42.0,1.0,0,27.3,Low,0,0,0,0,0
2025-09-25 09:30:00,478.0,42.5,1.0,0,27.4,Low,1,0,1,0,0
2025-09-25 09:40:00,481.0,43.0,1.0,0,27.4,Low,0,0,1,0,0
2025-09-25 09:50:00,486.0,44.0,1.0,0,27.5,Low,0,0,1,0,0
2025-09-25 10:00:00,489.0,44.5,1.0,0,27.5,Low,0,0,1,0,0
2025-09-25 10:10:00,488.0,45.0,1.0,0,27.5,Low,0,0,1,0,0
2025-09-25 10:20:00,491.0,45.5,0.0,0,27.5,Low,0,0,1,0,0
2025-09-25 10:30:00,496.0,45.5,0.0,0,27.5,Low,0,0,1,0,0
2025-09-25 10:40:00,496.0,46.0,0.0,0,27.5,Low,0,0,1,0,0
2025-09-25 10:50:00,495.0,46.0,0.0,0,27.5,Low,0,0,1,0,0
2025-09-25 11:00:00,497.0,46.5,0.0,1,27.5,Low,0,0,1,0,0
2025-09-25 11:10:00,498.0,46.0,0.0,1,27.5,Low,0,0,1,0,0
2025-09-25 11:20:00,500.0,46.0,0.0,0,27.5,Low,0,0,1,0,0
2025-09-25 11:30:00,505.0,45.5,0.0,0,27.4,Medium,0,0,1,0,0
2025-09-25 11:40:00,514.0,45.5,0.0,1,27.5,Medium,0,0,1,0,0
2025-09-25 11:50:00,520.0,45.5,0.0,0,27.4,Medium,0,0,1,0,0
2025-09-25 12:00:00,519.0,45.5,0.0,0,27.4,Medium,0,1,1,1,0
2025-09-25 12:10:00,517.0,45.0,0.0,0,27.4,Medium,0,0,1,1,0
2025-09-25 12:20:00,515.0,45.0,0.0,0,27.3,Medium,0,0,1,1,0
2025-09-25 12:30:00,514.0,45.0,0.0,0,27.3,Medium,0,0,1,1,0
2025-09-25 12:40:00,512.0,45.5,0.0,0,27.3,Medium,0,0,1,1,0
2025-09-25 12:50:00,509.0,45.5,0.0,0,27.3,Medium,0,0,1,1,0
2025-09-25 13:00:00,500.0,46.0,0.0,0,27.3,Low,0,0,1,1,0
2025-09-25 13:10:00,497.0,46.0,0.0,0,27.3,Low,0,0,1,1,0
2025-09-25 13:20:00,497.0,46.0,0.0,0,27.3,Low,0,0,1,1,0
2025-09-25 13:30:00,497.0,46.0,0.0,0,27.3,Low,0,0,1,1,0
2025-09-25 13:40:00,500.0,46.0,0.0,0,27.3,Low,0,0,1,1,0
2025-09-25 13:50:00,507.0,46.0,0.0,0,27.3,Medium,0,0,1,1,0
2025-09-25 14:00:00,512.0,45.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 14:10:00,517.0,45.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 14:20:00,520.0,45.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 14:30:00,519.0,45.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 14:40:00,519.0,45.0,0.0,0,27.3,Medium,0,0,1,1,0
2025-09-25 14:50:00,518.0,45.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 15:00:00,522.0,44.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 15:10:00,532.0,45.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 15:20:00,536.0,45.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 15:30:00,544.0,44.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 15:40:00,549.0,44.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 15:50:00,549.0,44.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 16:00:00,551.0,44.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 16:10:00,552.0,44.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 16:20:00,551.0,44.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 16:30:00,551.0,44.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 16:40:00,550.0,44.5,0.0,0,27.2,Medium,0,0,1,1,0
