ts,co2,temperature,humidity,light_level,pir,people_count_all,people_count_max,region_count,open_windows_all
2026-05-09 13:00:00,477.0,22.4,43.0,2.0,0,0,0,0,1
2026-05-09 13:10:00,476.0,22.5,43.0,2.0,0,0,0,0,1
2026-05-09 13:20:00,473.0,22.5,42.5,2.0,0,0,0,0,1
2026-05-09 13:30:00,470.0,22.4,42.5,2.0,0,0,0,0,1
2026-05-09 13:40:00,463.0,22.4,42.5,2.0,0,0,0,0,1
2026-05-09 13:50:00,457.0,22.5,42.5,2.0,0,0,0,0,1
2026-05-09 14:00:00,452.0,22.5,42.0,2.0,0,0,0,0,1
2026-05-09 14:10:00,447.0,22.5,42.0,2.0,0,0,0,0,1
2026-05-09 14:20:00,443.0,22.5,41.5,2.0,0,0,0,0,1
2026-05-09 14:30:00,442.0,22.5,41.5,2.0,0,0,0,0,1
2026-05-09 14:40:00,440.0,22.5,41.5,2.0,0,0,0,0,1
2026-05-09 14:50:00,437.0,22.5,41.5,2.0,0,0,0,0,1
2026-05-09 15:00:00,436.0,22.5,41.5,2.0,0,0,0,0,1
2026-05-09 15:10:00,435.0,22.5,41.5,2.0,0,0,0,0,1
2026-05-09 15:20:00,435.0,22.5,41.5,2.0,0,0,0,0,1
2026-05-09 15:30:00,435.0,22.5,41.5,2.0,0,0,0,0,1
2026-05-09 15:40:00,435.0,22.5,42.0,2.0,0,0,0,0,1
2026-05-09 15:50:00,434.0,22.6,42.0,1.0,0,0,0,0,1
2026-05-09 16:00:00,434.0,22.6,42.5,1.0,0,0,0,0,1
2026-05-09 16:10:00,433.0,22.6,42.5,1.0,0,0,0,0,1
2026-05-09 16:20:00,433.0,22.6,42.5,1.0,0,0,0,0,1
2026-05-09 16:30:00,431.0,22.5,43.0,1.0,0,0,0,0,1
2026-05-09 16:40:00,431.0,22.5,43.5,1.0,0,0,0,0,1
2026-05-09 16:50:00,431.0,22.5,43.5,0.0,0,0,0,0,1
2026-05-09 17:00:00,431.0,22.5,44.0,0.0,0,0,0,0,1
2026-05-09 17:10:00,431.0,22.5,44.0,0.0,0,0,0,0,1
2026-05-09 17:20:00,430.0,22.5,44.5,0.0,0,0,0,0,1
2026-05-09 17:30:00,430.0,22.5,45.0,0.0,0,0,0,0,1
2026-05-09 17:40:00,430.0,22.5,45.5,0.0,0,0,0,0,1
2026-05-09 17:50:00,430.0,22.5,46.0,0.0,0,0,0,0,1
2026-05-09 18:00:00,430.0,22.5,46.5,0.0,0,0,0,0,1
2026-05-09 18:10:00,430.0,22.5,46.5,0.0,0,0,0,0,1
2026-05-09 18:20:00,430.0,22.5,47.0,0.0,0,0,0,0,1
2026-05-09 18:30:00,431.0,22.5,47.5,0.0,0,0,0,0,1
2026-05-09 18:40:00,431.0,22.5,47.5,0.0,0,0,0,0,1
2026-05-09 18:50:00,431.0,22.5,48.0,0.0,0,0,0,0,1
2026-05-09 19:00:00,431.0,22.5,48.0,0.0,0,0,0,0,1
2026-05-09 19:10:00,430.0,22.5,48.0,0.0,0,0,0,0,1
2026-05-09 19:20:00,430.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-09 19:30:00,430.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-09 19:40:00,431.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-09 19:50:00,431.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 20:00:00,431.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 20:10:00,432.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 20:20:00,432.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 20:30:00,432.0,22.5,49.0,0.0,0,0,0,0,2
2026-05-09 20:40:00,432.0,22.5,49.5,0.0,0,0,0,0,2
2026-05-09 20:50:00,433.0,22.5,49.0,0.0,0,0,0,0,2
2026-05-09 21:00:00,434.0,22.5,49.0,0.0,0,0,0,0,2
2026-05-09 21:10:00,433.0,22.5,49.0,0.0,0,0,0,0,2
2026-05-09 21:20:00,433.0,22.5,49.0,0.0,0,0,0,0,2
2026-05-09 21:30:00,434.0,22.5,49.0,0.0,0,0,0,0,2
2026-05-09 21:40:00,434.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 21:50:00,434.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 22:00:00,434.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 22:10:00,435.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 22:20:00,436.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 22:30:00,436.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 22:40:00,437.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-09 22:50:00,437.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 23:00:00,438.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 23:10:00,439.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 23:20:00,439.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 23:30:00,440.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 23:40:00,440.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-09 23:50:00,440.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-10 00:00:00,441.0,22.5,49.5,0.0,0,0,0,0,1
2026-05-10 00:10:00,441.0,22.5,49.5,0.0,0,0,0,0,1
2026-05-10 00:20:00,442.0,22.5,49.5,0.0,0,0,0,0,1
2026-05-10 00:30:00,443.0,22.5,49.5,0.0,0,0,0,0,1
2026-05-10 00:40:00,445.0,22.4,49.5,0.0,0,0,0,0,1
2026-05-10 00:50:00,446.0,22.5,49.5,0.0,0,0,0,0,1
2026-05-10 01:00:00,446.0,22.5,49.5,0.0,0,0,0,0,1
2026-05-10 01:10:00,448.0,22.5,49.5,0.0,0,0,0,0,1
2026-05-10 01:20:00,448.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-10 01:30:00,450.0,22.4,49.0,0.0,0,0,0,0,1
2026-05-10 01:40:00,452.0,22.4,49.0,0.0,0,0,0,0,1
2026-05-10 01:50:00,452.0,22.4,49.0,0.0,0,0,0,0,1
2026-05-10 02:00:00,452.0,22.4,49.0,0.0,0,0,0,0,1
2026-05-10 02:10:00,453.0,22.5,49.0,0.0,0,0,0,0,1
2026-05-10 02:20:00,453.0,22.4,48.5,0.0,0,0,0,0,1
2026-05-10 02:30:00,454.0,22.4,49.0,0.0,0,0,0,0,1
2026-05-10 02:40:00,455.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-10 02:50:00,456.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-10 03:00:00,457.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-10 03:10:00,459.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-10 03:20:00,459.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-10 03:30:00,459.0,22.5,48.5,0.0,0,0,0,0,1
2026-05-10 03:40:00,460.0,22.4,48.5,0.0,0,0,0,0,1
2026-05-10 03:50:00,460.0,22.4,48.5,1.0,0,0,0,0,1
2026-05-10 04:00:00,461.0,22.4,48.5,1.0,0,0,0,0,1
2026-05-10 04:10:00,461.0,22.4,48.5,1.0,0,0,0,0,1
2026-05-10 04:20:00,463.0,22.4,48.5,1.0,0,0,0,0,1
2026-05-10 04:30:00,463.0,22.4,48.5,1.0,0,0,0,0,1
2026-05-10 04:40:00,463.0,22.4,48.5,1.0,0,0,0,0,1
2026-05-10 04:50:00,463.0,22.4,48.5,1.0,0,0,0,0,1
2026-05-10 05:00:00,464.0,22.5,48.5,1.0,0,0,0,0,1
2026-05-10 05:10:00,464.0,22.5,48.5,1.0,0,0,0,0,1
2026-05-10 05:20:00,464.0,22.5,48.5,2.0,0,0,0,0,1
2026-05-10 05:30:00,464.0,22.5,49.0,2.0,0,0,0,0,1
2026-05-10 05:40:00,464.0,22.5,49.0,2.0,0,0,0,0,1
2026-05-10 05:50:00,463.0,22.5,49.0,2.0,0,0,0,0,1
2026-05-10 06:00:00,462.0,22.5,49.0,2.0,0,0,0,0,1
2026-05-10 06:10:00,462.0,22.6,49.0,2.0,0,0,0,0,1
2026-05-10 06:20:00,459.0,22.6,49.5,2.0,0,0,0,0,1
2026-05-10 06:30:00,459.0,22.6,49.5,2.0,0,0,0,0,1
2026-05-10 06:40:00,457.0,22.6,49.5,2.0,0,0,0,0,1
2026-05-10 06:50:00,457.0,22.6,49.5,2.0,0,0,0,0,1
2026-05-10 07:00:00,456.0,22.6,49.5,2.0,0,0,0,0,1
2026-05-10 07:10:00,455.0,22.6,49.5,2.0,0,0,0,0,1
2026-05-10 07:20:00,453.0,22.6,49.5,2.0,0,0,0,0,1
2026-05-10 07:30:00,452.0,22.6,50.0,2.0,0,0,0,0,1
2026-05-10 07:40:00,450.0,22.6,50.0,2.0,0,0,0,0,1
2026-05-10 07:50:00,449.0,22.6,50.0,2.0,0,0,0,0,1
2026-05-10 08:00:00,448.0,22.6,50.0,1.0,0,0,0,0,1
2026-05-10 08:10:00,448.0,22.6,50.0,1.0,0,0,0,0,1
2026-05-10 08:20:00,446.0,22.6,50.0,1.0,0,0,0,0,1
2026-05-10 08:30:00,444.0,22.6,50.5,1.0,0,0,0,0,1
2026-05-10 08:40:00,443.0,22.6,50.5,1.0,0,0,0,0,1
2026-05-10 08:50:00,442.0,22.6,50.5,1.0,0,0,0,0,1
2026-05-10 09:00:00,442.0,22.6,50.5,1.0,0,0,0,0,1
2026-05-10 09:10:00,440.0,22.6,50.5,2.0,0,0,0,0,1
2026-05-10 09:20:00,439.0,22.6,51.0,1.0,0,0,0,0,1
2026-05-10 09:30:00,439.0,22.6,51.0,1.0,0,0,0,0,1
2026-05-10 09:40:00,439.0,22.6,51.0,2.0,0,0,0,0,1
2026-05-10 09:50:00,438.0,22.6,51.0,1.0,0,0,0,0,1
2026-05-10 10:00:00,438.0,22.6,51.0,1.0,0,0,0,0,1
2026-05-10 10:10:00,439.0,22.6,51.0,1.0,0,0,0,0,1
2026-05-10 10:20:00,438.0,22.6,51.5,1.0,0,0,0,0,1
2026-05-10 10:30:00,438.0,22.6,51.5,1.0,0,0,0,0,1
2026-05-10 10:40:00,438.0,22.6,51.5,2.0,0,0,0,0,1
2026-05-10 10:50:00,438.0,22.6,51.5,1.0,0,0,0,0,1
2026-05-10 11:00:00,438.0,22.6,52.0,1.0,0,0,0,0,1
2026-05-10 11:10:00,438.0,22.7,52.0,1.0,0,0,0,0,1
2026-05-10 11:20:00,438.0,22.7,52.0,1.0,0,0,0,0,1
2026-05-10 11:30:00,437.0,22.6,52.0,2.0,0,0,0,0,1
2026-05-10 11:40:00,437.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 11:50:00,438.0,22.6,52.5,2.0,0,0,0,0,1
